iter	RMSE
0	0.9514782381
1	0.8998091137
2	0.8624394907
3	0.8368685618
4	0.8186686824
5	0.804320958
6	0.7945688588
7	0.7872509847
8	0.7817047667
9	0.7767873475
10	0.7721240191
11	0.7682966025
12	0.7652829953
13	0.76307021
14	0.761090611
15	0.7594246673
16	0.758076213
17	0.756594395
18	0.7556995382
19	0.7540860653
20	0.7531016225
21	0.7522949248
22	0.7514737811
23	0.7505294402
24	0.7497798281
25	0.7491877718
26	0.7486587655
27	0.7482279337
28	0.7477221088
29	0.7467601299
30	0.746266206
31	0.7458218216
32	0.7454580004
33	0.7451153706
34	0.744371771
35	0.7441081323
36	0.7438513716
37	0.7436171801
38	0.7434348938
39	0.7431534712
40	0.7429818849
41	0.7424899288
42	0.7423701668
43	0.7420518296
44	0.7414669847
45	0.7409640358
46	0.740795171
47	0.7406216715
48	0.740124592
49	0.7399746133
50	0.7398978744
51	0.7395040472
52	0.7392279185
53	0.7383063285
54	0.7382417644
55	0.7381317671
56	0.7380687707
57	0.7378847308
58	0.7378664064
59	0.737662745
60	0.737579139
61	0.7374974638
62	0.73703333
63	0.7369404533
64	0.736790612
65	0.7365139701
66	0.7362051936
67	0.7360521135
68	0.7356375959
69	0.7354160883
70	0.7349830122
71	0.7348345684
72	0.7343266181
73	0.7335798364
74	0.7333030654
75	0.7329652381
76	0.7329020844
77	0.7326264084
78	0.7325348247
79	0.7325262545
80	0.7324756593
81	0.7323856995
82	0.7321401449
83	0.7320205487
84	0.7319613056
85	0.7319573782
86	0.7318527289
87	0.7313018709
88	0.7310582062
89	0.7309919375
90	0.7305683998
91	0.7303769902
92	0.7303113935
93	0.7298308301
94	0.7296213564
95	0.7295143128
96	0.7294264658
97	0.7293768052
98	0.7291339268
99	0.7287270102
100	0.728692783
101	0.7285905058
102	0.7285120649
103	0.7283094616
104	0.7282116859
105	0.7279548298
106	0.7278040102
107	0.7277511749
108	0.7275277714
109	0.7273773148
110	0.7272341659
111	0.727231196
112	0.7271943328
113	0.7270993569
114	0.7269841781
115	0.7268909658
116	0.7267796658
117	0.7266888222
118	0.7264795166
119	0.7264312101
120	0.7263427376
121	0.726295241
122	0.72623319
123	0.7261625577
124	0.7260685804
125	0.7258813194
126	0.7258592292
127	0.7252679304
128	0.725253098
129	0.7251973907
130	0.7251078133
131	0.7251060088
132	0.7249586927
133	0.7249121332
134	0.7248384993
135	0.7247373439
136	0.7241788257
137	0.7241012807
138	0.7240941899
139	0.7240805446
140	0.7239715096
141	0.7239295135
142	0.7239207311
143	0.7237961344
144	0.7236477815
145	0.723636821
146	0.7236295279
147	0.7235437991
148	0.7234857256
149	0.7234379167
150	0.7234048029
151	0.7233844811
152	0.7233828967
153	0.7233773478
