iter	Passed	Remaining
0	113	52465
1	196	45220
2	268	41145
3	374	42843
4	436	39858
5	513	39022
6	588	38240
7	681	38697
8	759	38211
9	840	38011
10	919	37708
11	997	37412
12	1060	36616
13	1134	36313
14	1178	35121
15	1244	34704
16	1314	34397
17	1398	34497
18	1471	34305
19	1536	33957
20	1604	33701
21	1677	33553
22	1757	33547
23	1836	33508
24	1906	33333
25	1989	33364
26	2074	33417
27	2147	33290
28	2224	33215
29	2305	33200
30	2387	33191
31	2471	33214
32	2569	33408
33	2644	33290
34	2725	33245
35	2798	33118
36	2884	33127
37	2953	32958
38	3002	32566
39	3085	32548
40	3186	32716
41	3262	32626
42	3332	32473
43	3392	32228
44	3476	32219
45	3557	32170
46	3617	31938
47	3675	31704
48	3757	31670
49	3810	31395
50	3884	31306
51	3948	31134
52	4031	31108
53	4107	31036
54	4186	30978
55	4270	30960
56	4342	30857
57	4386	30556
58	4459	30462
59	4528	30341
60	4591	30185
61	4635	29905
62	4702	29785
63	4751	29550
64	4824	29464
65	4918	29511
66	5013	29559
67	5091	29503
68	5183	29525
69	5237	29331
70	5311	29248
71	5393	29216
72	5488	29247
73	5580	29260
74	5662	29220
75	5751	29211
76	5804	29021
77	5884	28971
78	5984	29014
79	6063	28951
80	6127	28822
81	6189	28681
82	6248	28534
83	6322	28453
84	6390	28345
85	6438	28149
86	6514	28078
87	6597	28038
88	6684	28016
89	6767	27974
90	6861	27973
91	6949	27949
92	7001	27780
93	7072	27689
94	7157	27649
95	7238	27596
96	7286	27419
97	7372	27382
98	7456	27339
99	7540	27295
100	7606	27188
101	7689	27139
102	7766	27068
103	7856	27045
104	7939	26993
105	8025	26954
106	8122	26947
107	8219	26940
108	8309	26909
109	8394	26860
110	8481	26819
111	8541	26692
112	8597	26554
113	8641	26379
114	8690	26223
115	8771	26164
116	8856	26115
117	8915	25990
118	9007	25963
119	9079	25876
120	9151	25789
121	9217	25687
122	9280	25577
123	9327	25424
124	9412	25375
125	9502	25339
126	9555	25204
127	9633	25137
128	9703	25048
129	9766	24942
130	9828	24833
131	9877	24694
132	9975	24676
133	10068	24644
134	10158	24606
135	10247	24564
136	10331	24507
137	10412	24446
138	10482	24358
139	10567	24304
140	10651	24249
141	10722	24163
142	10774	24034
143	10857	23978
144	10949	23937
145	10995	23799
146	11041	23659
147	11127	23607
148	11171	23467
149	11233	23366
150	11321	23316
151	11392	23235
152	11448	23121
153	11493	22986
154	11539	22855
155	11592	22740
156	11641	22615
157	11697	22505
158	11785	22459
159	11861	22388
160	11950	22341
161	12029	22277
162	12111	22217
163	12162	22100
164	12215	21988
165	12290	21915
166	12369	21849
167	12432	21756
168	12479	21636
169	12536	21533
170	12591	21427
171	12674	21370
172	12766	21326
173	12814	21209
174	12894	21147
175	12973	21081
176	13025	20973
177	13079	20867
178	13166	20815
179	13227	20722
180	13307	20659
181	13406	20625
182	13481	20554
183	13532	20445
184	13582	20337
185	13655	20263
186	13755	20228
187	13831	20158
188	13913	20096
189	13999	20041
190	14064	19956
191	14147	19894
192	14224	19825
193	14271	19715
194	14354	19655
195	14429	19582
196	14491	19493
197	14554	19406
198	14599	19295
199	14681	19232
200	14732	19130
201	14812	19066
202	14892	19000
203	14937	18891
204	14984	18785
205	15055	18709
206	15137	18648
207	15188	18547
208	15248	18458
209	15335	18402
210	15420	18344
211	15509	18288
212	15602	18239
213	15697	18191
214	15766	18112
215	15854	18056
216	15937	17993
217	16024	17935
218	16110	17875
219	16192	17812
220	16277	17750
221	16342	17667
222	16446	17626
223	16539	17572
224	16626	17513
225	16689	17428
226	16771	17362
227	16851	17294
228	16933	17228
229	17007	17155
230	17085	17085
231	17170	17022
232	17233	16937
233	17311	16867
234	17399	16807
235	17462	16722
236	17505	16619
237	17566	16533
238	17609	16430
239	17653	16329
240	17747	16274
241	17805	16187
242	17864	16100
243	17954	16041
244	18025	15965
